,id,listing,district,area,address,xiaoqu,sqm,room,lvgroom,year,renovation,floor,direction,price,lat,lng,postal,station_1,station_2,dist_1,dist_2
0,shpdz000063817,"三航小区(浦东南路595弄),小区中心位置,带露台,非底楼房,产证在手",浦东,陆家嘴,浦东南路595弄,三航小区(浦东南路595弄),44,1,1.0,1985.0,3.0,high,S,4300,31.235486,121.512842,,东昌路站,商城路,500.0,1400.0
1,shqpz000003356,"圣堡别墅,客厅带阳台,独栋别墅,位置安静,带花园",青浦,沪青平,联民路99弄,圣堡别墅,335,4,2.0,2011.0,3.0,high,S,37000,31.156905,121.279343,,徐泾东,泗泾,5400.0,5700.0
2,shhkz000021285,"溧阳华府,主卧朝南,一梯两户,靠近地铁口,采光充足",虹口,四平路,四平路283号,溧阳华府,66,1,2.0,2011.0,3.0,high,S,7800,31.26298599999999,121.488545,200085.0,海伦路,东宝兴路,1000.0,1700.0
3,shmhz000031464,"欧风花都,南北通透,靠近地铁口,采光充足,拎包入住",闵行,古美,东兰路1111弄,欧风花都,111,2,2.0,2003.0,3.0,middle,S,7500,31.151116,121.384751,,合川路,星中路,1200.0,2100.0
5,shxvz000018749,"徐家汇花园,两房朝南,一梯三户,繁华地段,黄金楼层",徐汇,大木桥,宛平南路255弄,徐家汇花园,158,3,2.0,2004.0,3.0,high,NS,15500,31.193552,121.447703,200000.0,老西门,小南门,700.0,1200.0
6,shhpz000006104,"士林华苑,主卧朝南,小区景观位置,采光充足,现代风格",黄浦,董家渡,河南南路555弄,士林华苑,119,1,2.0,2007.0,3.0,high,S,7500,31.2205854,121.4906306,200085.0,四川北路站,国际客运中心,700.0,1000.0
7,shhkz000021125,"久耕里小区(峨嵋路366弄),小区中心位置,采光充足,靠近地铁口,房型正气",虹口,北外滩,峨嵋路366弄,久耕里小区(峨嵋路366弄),34,1,1.0,1986.0,3.0,middle,S,4200,31.251579,121.48998,200085.0,江浦公园,鞍山新村,1100.0,1400.0
8,shypz000027102,"双辽支路45弄,主卧朝南,繁华地段,拎包入住,南北通透",杨浦,江浦,双辽支路45弄,双辽支路45弄,45,2,0.0,1993.0,1.0,high,NS,4000,31.2704884,121.5174062,200085.0,富锦路,江杨北路,3800.0,4300.0
9,shbsz000026886,"月浦三村,主卧朝南,底楼房,拎包入住,中式风格",宝山,月浦,月浦三村,月浦三村,47,2,1.0,1982.0,1.0,low,NS,2300,31.418153000000004,121.429832,,东宝兴路,西藏北路,1500.0,2200.0
10,shhkz000021362,"同心苑,小户型,小区中心位置,采光充足,现代风格",虹口,四川北路,同心路232弄,同心苑,35,1,0.0,2000.0,2.0,low,S,3200,31.267439000000003,121.476026,200000.0,商城路,东昌路站,900.0,1000.0
11,shpdz000072103,"崂山二村,南北通透,小区中心位置,房型正气,靠近地铁口",浦东,梅园,崂山二村,崂山二村,35,1,1.0,1958.0,3.0,high,S,3800,31.2368793,121.5201616,200085.0,四平路,鞍山新村,1500.0,1800.0
12,shypz000027113,"建信大楼,主卧朝南,繁华地段,拎包入住,近商圈",杨浦,江浦,打虎山路15弄,建信大楼,69,2,1.0,1992.0,2.0,low,S,6500,31.270717,121.508538,200085.0,四平路,鞍山新村,1200.0,1600.0
13,shypz000027391,"恒阳花苑,大开间,小区中心位置,采光充足,中式风格",杨浦,江浦,辽源西路230弄,恒阳花苑,85,2,2.0,2007.0,1.0,high,S,8000,31.2684876,121.5089583,200085.0,杨思,后滩,1900.0,2200.0
14,shpdz000075210,"德州四村(成山路24弄),主卧朝南,近商圈,拎包入住,田园风格",浦东,上南,成山路24弄（旧址杨高路24弄）,德州四村(成山路24弄),32,1,0.0,1987.0,1.0,middle,S,3400,31.169785,121.48586,,东宝兴路,西藏北路,1200.0,2000.0
15,shhkz000021312,"同心路93弄,主卧朝南,繁华地段,得房率高,南北通透",虹口,四川北路,同心路93弄,同心路93弄,55,2,0.0,1982.0,2.0,middle,S,4500,31.266343,121.47853899999998,200000.0,殷高东路,新江湾城,700.0,1800.0
16,shypz000026788,"保辉香景园,全南户型,独立电梯,靠近地铁口,带中央空调",杨浦,新江湾,国晓路668弄,保辉香景园,121,2,2.0,2012.0,4.0,middle,NS,13500,31.325752,121.506077,,四平路,鞍山新村,700.0,1400.0
17,shypz000027841,"和平花苑(2期),主卧朝南,顶楼房,大两房,繁华地段",杨浦,鞍山,大连路1288弄,和平花苑(2期),135,3,2.0,2005.0,1.0,high,W,12000,31.2710516,121.5060336,200085.0,杨思,高青路,700.0,2400.0
18,shpdz000072328,"申江豪城,主卧朝南,小区中心位置,采光充足,中式风格",浦东,三林,杨思路855弄,申江豪城,105,2,2.0,2004.0,2.0,middle,NS,7000,31.163423,121.500168,,松江新城,东川路,35900.0,39000.0
19,shjsz000003021,"万达新公馆(1068号),两房朝南,大平层,采光充足,拎包入住",金山,金山,龙皓路1068号,万达新公馆(1068号),56,1,1.0,2015.0,3.0,low,S,2000,30.754052,121.3370643,,打浦桥,新天地,1000.0,1400.0
21,shlwz000005855,"汇龙新城,全南户型,位置安静,采光充足,中式风格",黄浦,打浦桥,徐家汇路515弄,汇龙新城,99,2,2.0,2002.0,3.0,middle,S,13000,31.20828,121.475192,,曲阳路,赤峰路,200.0,1200.0
22,shhkz000021452,"东苑小区(凉城三村),主卧朝南,独立电梯,小区中心位置,位置安静",虹口,江湾凉城,凉城路凉城三村,东苑小区(凉城三村),42,1,1.0,1988.0,1.0,low,S,3100,31.292555,121.471338,,四平路,鞍山新村,1100.0,1500.0
23,shhkz000021573,"文宇公寓,三房朝南,繁华地段,得房率高,南北通透",虹口,四平路,大连西路257弄,文宇公寓,130,3,2.0,1998.0,3.0,middle,S,9500,31.276297,121.488207,200085.0,四平路,鞍山新村,700.0,1400.0
24,shypz000026436,"辽源西路300弄,厨卫朝北,带采光天井,房型正气,欧式风格",杨浦,江浦,辽源西路300弄,辽源西路300弄,62,4,1.0,1982.0,2.0,low,N,2200,31.269007,121.507595,200085.0,大连路,杨树浦路,1300.0,3100.0
25,shypz000027825,"和平花苑(2期),南北通透,小区中心位置,采光充足,靠近地铁口",杨浦,鞍山,大连路1288弄,和平花苑(2期),132,3,2.0,2005.0,1.0,low,S,9000,31.2710516,121.5060336,200085.0,临平路,海伦路,100.0,1100.0
26,shhkz000021121,"建设新村,主卧朝南,小区中心位置,采光充足,小户型",虹口,四平路,欧阳路378弄,建设新村,43,1,1.0,1958.0,2.0,middle,E,3700,31.2534106,121.5126397,200085.0,东宝兴路,四川北路站,300.0,800.0
27,shhkz000021174,"瑞虹新城2期,主卧朝南,一梯两户,繁华地段,拎包入住",虹口,临平,临平路133弄,瑞虹新城2期,68,2,1.0,2004.0,2.0,middle,E,8000,31.261775,121.498034,200085.0,淞发路,殷高西路,2100.0,2500.0
